sequence,group,detect_nfeatures,frame_step,budget,strategy,pairs,avg_selected_a,avg_selected_b,avg_matches,avg_good_matches,avg_good_match_ratio,avg_avg_match_distance,avg_fundamental_inliers,avg_fundamental_inlier_ratio,avg_compact_packet_bytes_per_frame,avg_jpeg_bytes_per_frame,avg_compact_packet_vs_jpeg_ratio
unstructured_like/IMG_5976,unstructured_like,2000,1,250,random,321,250.0,250.0,100.072,41.523,0.416,62.073,21.632,0.216,10250.0,1167763.379,0.009
unstructured_like/IMG_5976,unstructured_like,2000,1,250,top_response,107,250.0,250.0,139.804,118.533,0.841,38.15,102.626,0.725,10250.0,1167763.379,0.009
unstructured_like/IMG_5976,unstructured_like,2000,1,500,grid,107,500.0,500.0,260.336,224.561,0.858,37.975,174.467,0.664,20500.0,1167763.379,0.018
unstructured_like/IMG_5976,unstructured_like,2000,1,500,random,321,500.0,500.0,204.474,127.508,0.624,53.701,69.037,0.336,20500.0,1167763.379,0.018
unstructured_like/IMG_5976,unstructured_like,2000,1,500,top_response,107,500.0,500.0,278.364,242.794,0.866,37.495,199.299,0.707,20500.0,1167763.379,0.018
unstructured_like/IMG_5976,unstructured_like,2000,1,1000,grid,107,1000.0,1000.0,529.234,482.514,0.909,36.069,348.318,0.651,41000.0,1167763.379,0.035
unstructured_like/IMG_5976,unstructured_like,2000,1,1000,random,321,1000.0,1000.0,446.343,367.131,0.821,43.785,221.773,0.493,41000.0,1167763.379,0.035
unstructured_like/IMG_5976,unstructured_like,2000,1,1000,top_response,107,1000.0,1000.0,550.458,498.477,0.901,36.481,385.729,0.692,41000.0,1167763.379,0.035
unstructured_like/IMG_5981,unstructured_like,2000,1,100,grid,143,100.0,100.0,55.133,46.86,0.847,35.793,37.413,0.674,4100.0,865024.357,0.005
unstructured_like/IMG_5981,unstructured_like,2000,1,100,random,429,100.0,100.0,42.578,8.928,0.212,70.336,9.161,0.217,4100.0,865024.357,0.005
unstructured_like/IMG_5981,unstructured_like,2000,1,100,top_response,143,100.0,100.0,57.979,50.741,0.871,34.053,44.825,0.765,4100.0,865024.357,0.005
unstructured_like/IMG_5981,unstructured_like,2000,1,250,grid,143,250.0,250.0,142.441,128.392,0.9,32.854,95.853,0.667,10250.0,865024.357,0.012
unstructured_like/IMG_5981,unstructured_like,2000,1,250,random,429,250.0,250.0,104.298,45.259,0.436,60.608,25.203,0.242,10250.0,865024.357,0.012
unstructured_like/IMG_5981,unstructured_like,2000,1,250,top_response,143,250.0,250.0,150.329,137.874,0.914,31.992,113.51,0.746,10250.0,865024.357,0.012
unstructured_like/IMG_5981,unstructured_like,2000,1,500,grid,143,500.0,500.0,294.343,275.524,0.935,31.03,202.203,0.679,20500.0,865024.357,0.024
unstructured_like/IMG_5981,unstructured_like,2000,1,500,random,429,500.0,500.0,214.746,139.499,0.651,51.227,82.727,0.384,20500.0,865024.357,0.024
unstructured_like/IMG_5981,unstructured_like,2000,1,500,top_response,143,500.0,500.0,305.301,287.476,0.939,30.731,228.587,0.739,20500.0,865024.357,0.024
unstructured_like/IMG_5981,unstructured_like,2000,1,1000,grid,143,1000.0,1000.0,604.266,578.839,0.957,30.104,423.538,0.694,41000.0,865024.357,0.048
unstructured_like/IMG_5981,unstructured_like,2000,1,1000,random,429,1000.0,1000.0,477.483,409.855,0.859,39.677,270.166,0.564,41000.0,865024.357,0.048
unstructured_like/IMG_5981,unstructured_like,2000,1,1000,top_response,143,1000.0,1000.0,619.07,595.161,0.96,29.72,463.979,0.741,41000.0,865024.357,0.048
